ID	Description	Type
310013	Gantry FPGA static register value is invalid. (see log for details)	Fault
310014	Stand pendant firmware version is not supported: Maj {0} Min {1}. Unplug it	Fault
310015	Stand pendant PCB version is not supported: Part {0} Dash {1}. Unplug it	Fault
310016	Stand pendant firmware and PCB version are incompatible. Unplug it	Fault
310017	DKB main assembly version is not supported.	Fault
310018	DKB firmware and main assembly versions are incompatible.	Fault
310019	STN FPGA static gantry registers' content were different from expected values.	Fault
310020	STN Cont board DKB power control and status mismatch.	Fault
310293	Variable Frequency Drive (VFD)   Read Only Configuration Parameter is corrupted Address: 0x{0}, Value: {1}	Fault
310294	Variable Frequency Drive (VFD)  Writable Configuration Parameter is corrupted Address: 0x{0}, Value: {1}	Fault
310295	Variable Frequency Drive (VFD) communication Error	Fault
310400	City water temperature {0} C exceeds {1} C threshold.	Fault
310401	City water temperature is too low. Sensor measures {0}C. Threshold is {1}C.	Fault
310427	Water level is too low.	Fault
310428	Water is taking too long to warm up.	Fault
310431	Warning: Water level in water tank is too low.	Fault
310470	Magnetron water flow rate of {0:F2} LPM is too high.  Threshold is {1:F2} LPM.	Fault
310471	Magnetron water flow rate of {0} LPM is too low.  Threshold is {1} LPM.	Fault
310472	Water tank temperature of {0} degrees C is too high.  Threshold is {1}C.	Fault
310473	Water tank temperature of {0} degrees C is too low.  Threshold is {1}C.	Fault
310474	Water tank temperature of {0:F2} degrees C is too high. over major fault limit.  Threshold is {1:F2}C.	Fault
310475	Pump pressure {0} kPa is too high.  Threshold is {1} .	Fault
310476	Pump pressure {0:F2} is  kPa too low.  Threshold is {1:F2} .	Fault
310477	Water is detected in the PIT area	Fault
310478	Target water temperature of {0} degrees C is too high.  Threshold is {1}C.	Fault
310479	Target water temperature of {0} degrees C is too low.   Threshold is {1}C.	Fault
310480	Magnetron water temperature of {0} degrees C is too high.  Threshold is {1}C.	Fault
310481	Magnetron water temperature of {0} degrees C is too low.   Threshold is {1}C.	Fault
310482	Pump pressure {0} kPa is too low. Threshold is {1} . 	Fault
310483	Pump fault is detected	Fault
310484	Pump pressure {0} kPa is too high. Threshold is {1} kPa.	Fault
310485	City water flow rate is too high. Sensor measures {0} lpm. Threshold is {1} lpm.	Fault
310486	City water flow rate of {0} lpm is lower than {1} lpm threshold.	Fault
310487	Water flow {0}lpm to target exceeds {1} lpm threshold.	Fault
310488	Water flow {0} lpm to target is lower than {1} lpm threshold.	Fault
310500	Console controls timed out on order.	Fault
312000	Gantry Rotation: Difference between primary sensor and secondary sensor position of {0} exceeded maximum deviation {1}.	Fault
312002	Gantry Rotation: During movement, primary position deviation of {0} while moving exceeded maximum deviation of {1}.	Fault
312003	GantryRotation: During standstill, Gantry moved. Primary position sensor drifted {0} degrees, exceeded maximum drift of {1} degrees.	Fault
312004	Gantry Rotation: Timed out while setting motor to power OFF state.	Fault
312005	Gantry Rotation: Timed out while setting motor to ready state (servos engaged without moving).	Fault
312006	Gantry Rotation: Timed out while setting motor to moving state (servos engaged and moving).	Fault
312007	Gantry Rotation: Motor drive overloaded (now draws {0} amps, but maximum allowed = {1} amps).	Fault
312008	Gantry Rotation: Commanded position {0} degrees exceeds maximum allowable position {1} degrees.	Fault
312009	Gantry Rotation: Commanded position {0} degrees exceeds minimum allowable position {1} degrees.	Fault
312013	Gantry Rotation: During movement, gantry motor position deviation of {0} while moving exceeded maximum deviation of {1}.	Fault
312014	Gantry Rotation: Secondary position drifting of {0} while holding position exceeded maximum drift of {1}. 	Fault
312015	GantryRtn: Timed out after {0}ms while settling at final position	Fault
312018	Couch Vrt: Primary position stuck: Commanded position changed {0} cm but primary position only changed {1} cm	Fault
312019	Couch Vrt: Secondary position stuck: Commanded position changed {0} cm but secondary position only changed {1} cm	Fault
312024	GantryRtn: Commanded velocity at position {0} is above allowed value of maximum {1} + overshoot	Fault
312025	GantryRtn: Commanded acceleration at position {0} is above allowed value of maximum {1} + overshoot	Fault
312026	GantryRtn: Commanded deceleration at position {0} is above allowed value of maximum {1} + overshoot	Fault
312054	Restricted motion has been disabled but one of the following conditions is not met.  Service door is opened or two or more bore collision sensors are invalid. (door open status ={0}. bore error status ={1})	Fault
312055	Restricted motion has been enabled but one of the following conditions is not met.  Service door is closed or two or 
more bore collision sensors are valid (door open status ={0}. bore error status ={1})	Fault
312056	Gantry: Motor Positive 48V Power Good Fault	Fault
312057	Gantry: Motor Negative 48V Power Good Fault	Fault
312058	Gantry: Motor has been disable manually. Please turn the switch to Off position at SPB board	Fault
312800	GantryRtn: Reported Ref Mark on Primary not found at count = {0} 	Fault
312801	GantryRtn: Reported Ref Mark on Secondary not found at count = {0} 	Fault
312802	GantryRtn: Ref Mark not consistent with primary position. previously reported = {0}. Current = {1} 	Fault
312803	GantryRtn: Ref Mark not consistent with secondary position. previously reported = {0}. Current = {1} 	Fault
312804	GantryRtn: Missed expected Ref Mark on primary at HW position {0}. last detected ref mark index {1:F0}.	Fault
312805	GantryRtn: Missed expected Ref Mark on secondary at HW position {0}. last detected ref mark index {1:F0}	Fault
312806	GantryRtn: The Calculation of offset during initialization failed. previous latched ref count = {0}. latched ref count = {1} 	Fault
312807	GantryRtn: Destination ({0}) reached during initialization. No Index Ref Marks found.	Fault
312808	Trajectory error during checkout.	Fault
312809	GantryRtn: Timeout while waiting for motion enable	Fault
312810	GantryRtn: Software error while moving off a hard stop	Fault
312813	GantryRtn: Wake and Shake procedure end in failure.	Fault
312814	GantryRtn: Wake and Shake procedure end in failure due to low motor current readings. or no motor current at all.	Fault
312815	GantryRtn: Wake and Shake procedure end in failure due to no encoder counts change throughout the procedure.	Fault
312816	GantryRtn: Wake and Shake procedure end in failure because it was unable to find a clear detectable voltage peak after one complete electrical revolution.	Fault
312817	GantryRtn: Locked Rotor procedure end in failure because it was unable to determine encoder direction.	Fault
312818	GantryRtn: Encoder {0} CRC mismatch on axis {1}	Fault
312819	GantryRtn: Encoder {0} Sequence Number mismatch on axis {1}	Fault
312820	STN Node Software failed to reset Axis {0} encoders.	Fault
313200	DKB:DSP Common firmware update needed	Fault
313201	DKB:DSP Common State manager mail box full; RefNum={0}	Fault
313202	DKB: Monitored DSP  ADC channel {0} is out of tolerance with value {1}.	Fault
313203	DKB CRC for program in memory does not match the CRC stored in EEPROM.	Fault
313204	This is generated by DKB Firmware. This may occur during the setup of the various watchdog tasks	Fault
313205	DKB:Boot Kernel parameter error. RefNum={0}, value = {1}	Fault
313206	DKB: Firmware tries to open Beam loop, while it remains closed	Fault
313207	DKB:RefNum={0}; Board Temperature of {1}degree C is out of limit 	Fault
313208	DKB: A DKB peripheral device is temporarily not accessible	Fault
313209	DKB:DSP Common internal Error - Bad Fault Id 	Fault
313210	DKB:Firmware internal issue	Fault
313211	DKB: RefNum={0}; A invalid command of value {1} was received through CAN.	Fault
313212	DKB: address received for getting or setting parameter is out of range.	Fault
313213	DKB: Invalid parameter value issued over the CAN.	Fault
313214	DKB: A request to change a parameter was made without setting the parameter unlock key.	Fault
313215	DKB: The non-volatile memory key parameter was not set before an EEPROM or FLASH write operation.	Fault
313216	DKB: A Non-volatile memory write request could not be processed because it's still processing previous requests.	Fault
313217	DKB:Failure to read EEPROM data at EEPROM address={0}. RefNum={1}	Fault
313218	DKB: The calculated parameters CRC did not match the stored parameters CRC.	Fault
313219	DKB: Timeout trying to read the EEPROM across the SPI bus.	Fault
313220	DKB: Timeout trying to write the EEPROM across the SPI bus.	Fault
313221	DKB:DSP Common internal Error - Spare not used 	Fault
313222	DKB:DSP Common internal Error - Spare not used 	Fault
313223	DKB: Firmware cannot detect presence of a flash or EEPROM	Fault
313224	DKB: Flash erase operation timed out after 10 seconds.	Fault
313225	DKB: Flash write failure or flash write timed out.	Fault
313226	STN DKB:Firmware internal fault: SPI semaphore Conflict RefNum={0} 	Fault
313227	DKB:DSP Common internal Error - Spare not used 	Fault
313228	DKB: Firmware internal issue: DAC on the SPI bus is not accessable	Fault
313229	DKB: No CAN communication with the STN controller has occurred within 3s	Fault
313230	DKB:CAN Bus Error. RefNum={0} 	Fault
313232	DKB:DSP Common internal Error - Spare not used 	Fault
313233	DKB:DSP Common internal Error - Spare not used 	Fault
313234	DKB:DSP Common internal Error - Spare not used 	Fault
313235	DKB: Interlock {1} stopped the beam.   	Fault
313236	DKB:DSP Common internal Error - Spare not used 	Fault
313237	DKB:DSP Common internal Error - Spare not used 	Fault
313238	DKB:DSP Common internal Error - Spare not used 	Fault
313239	DKB:Failure to program FPGA. RefNum={0}	Fault
313240	DKB:Incorrect FPGA logic or macroblaze version {1} read back. RefNum={0}	Fault
313241	DKB:FPGA data in external flash is invalid or blank. RefNum={0}	Fault
313242	DKB: FPGA data checksum does not match. Lower 16-bit chkSum in memory = {0}; new 32-bit chkSum = {1}.	Fault
313244	DKB Firmware informed hardware to open the Motion loop, but hardware reports it as still closed 	Fault
313245	DKB CPLD  informed hardware to open the Motion loop, but hardware reports it as still closed 	Fault
313246	DKB Firmware informed hardware to open the Beam loop, but hardware reports it as still closed 	Fault
313247	DKB CPLD  informed hardware to open the Beam loop, but hardware reports it as still closed 	Fault
313248	DKB Firmware informed hardware to open the kV Beam loop, but hardware reports it as still closed 	Fault
313249	DKB CPLD  informed hardware to open the kV Beam loop, but hardware reports it as still closed 	Fault
313250	Internal hardware or firmware fault related to SPI bus acknowledgement	Fault
313251	Internal hardware or firmware faults related to SPI bus data redundancy	Fault
313252	Internal hardware or CPLD firmware failure to kick the watchdog	Fault
313253	A button press information was not reported	Fault
313254	The DKB volume was not changed as per user's request	Fault
313255	The DKB firmware failed to update the LCD	Fault
313256	The DKB firmware didn't properly read or write to external serial flash	Fault
313257	One of the DKB Buttons is/are stuck beside MEB or kV beam On	Fault
313258	The DKB firmware did not properly read or write via I2C bus	Fault
313259	kV Beam On button stuck 	Fault
313260	Right MEB button stuck 	Fault
313261	Left MEB button stuck 
Replace DKB	Fault
313400	Fail to move DKB firmware from boot kernel to application	Fault
313800	Stand pendant CAN transmit errors	Fault
313801	Stand pendant CAN receive errors	Fault
313802	Stand pendant CAN send buffer full	Fault
313803	Stand pendant CAN receive buffer full	Fault
313804	Stand pendant CAN initialization fail	Fault
313990	Subnode StandPendant: CAN message is incorrect size.	Fault
313991	Subnode StandPendant: CAN received timeout.	Fault
313992	Subnode StandPendant: CAN handler initialization failed	Fault
314100	Pendant:DSP Common firmware internal error; RefNum=7001	Fault
314101	Pendant:DSP Common internal issue	Fault
314102	Pendant: Monitored DSP  ADC channel {0} is out of tolerance with value {1}.	Fault
314103	Pendant: CRC value is invalid or does not match the stored value.	Fault
314104	Pendant Firmware Internal Error: An Error occur during the setup of the various watchdog tasks	Fault
314105	Pendant:Boot Kernel parameter error. RefNum={0}, value = {1}	Fault
314106	Pendant: Firmware tries to open Beam loop but the Beam loop remain closed	Fault
314107	Pendant:RefNum={0}; Board Temperature of {1}degree C is out of limit 	Fault
314108	Pendant: The firmware cannot access EEPROM over SPI bus.	Fault
314109	Pendant:DSP Common internal Error - Bad Fault Id 	Fault
314110	Pendant:Firmware internal issue	Fault
314111	Pendant: RefNum={0}; A invalid command of value {1} was received through CAN.	Fault
314112	Pendant: Invalid address received for the get and set parameter command.	Fault
314113	Pendant: Invalid parameter value issued over the CAN.	Fault
314114	Pendant: A request to change a parameter was made without setting the parameter unlock key.	Fault
314115	Pendant: The non-volatile memory key parameter was not set before an EEPROM or FLASH write operation.  In that case, write operation is not allowed.	Fault
314116	Pendant: A Non-volatile memory write request could not be processed because it's still processing previous requests.	Fault
314117	Pendant:Failure to read EEPROM data at EEPROM address={0}. RefNum={1}	Fault
314118	Pendant: The calculated parameters CRC did not match the stored parameters CRC.	Fault
314119	Pendant: Timeout trying to read the EEPROM across the SPI bus.	Fault
314120	Pendant: Timeout trying to write the EEPROM across the SPI bus.	Fault
314121	Pendant:DSP Common internal Error - Spare not used 	Fault
314122	Pendant:DSP Common internal Error - Spare not used 	Fault
314123	Pendant: Firmware cannot detect presence of a flash or EEPROM	Fault
314124	Pendant: Flash erase operation timed out after 10 seconds.	Fault
314125	Pendant: Flash write failure or flash write timed out.	Fault
314126	STN Pendant:Firmware internal fault: SPI semaphore Conflict RefNum={0} 	Fault
314127	Pendant:DSP Common internal Error - Spare not used 	Fault
314128	Pendant: Firmware internal problem: Firmware have problem accessing DAC on the SPI bus	Fault
314129	Pendant: No CAN communication with the STN controller has occurred within 3s	Fault
314130	Pendant:CAN Bus Error. RefNum={0} 	Fault
314131	No CAN communication for more than 100ms. 	Fault
314132	Pendant:DSP Common internal Error - Spare not used 	Fault
314133	Pendant:DSP Common internal Error - Spare not used 	Fault
314134	Pendant:DSP Common internal Error - Spare not used 	Fault
314135	Pendant: Interlock {1} stopped the beam.  	Fault
314136	Pendant:DSP Common internal Error - Spare not used 	Fault
314137	Pendant:DSP Common internal Error - Spare not used 	Fault
314138	Pendant:DSP Common internal Error - Spare not used 	Fault
314139	Pendant:Failure to program FPGA. RefNum={0}	Fault
314140	Pendant:Incorrect FPGA logic or macroblaze version {1} read back. RefNum={0}	Fault
314141	Pendant:FPGA data in external flash is invalid or blank. RefNum={0}	Fault
314142	Pendant: FPGA data checksum does not match. Lower 16-bit chkSum in memory = {0}; new 32-bit chkSum = {1}.	Fault
314144	The firmware deteted that all thumbwheels are pressed simultaneously	Fault
314145	The firmware deteted that one or more thumbwheels are moved without MEB being pressed for over 2sec 
	Fault
314146	The firmware deteted that the MEB being pressed without any thumbwheel being move for over 15 sec 	Fault
314147	MEB button and motion enable signal in conflict over 0.5sec 	Fault
314148	Pandant monitor task timeout 	Fault
314149	CPLD watchdog timeout 	Fault
314155	Unknown CPLD version byte: read value {0} 	Fault
314156	External SRAM access failure: adr, exp value {0}, actual val {1} 	Fault
314157	Internal CPLD issue: incorrect value of a known byte: exp value {0}, actual val {1} 	Fault
314158	Internal CPLD fault, CPLD memory IO is not available	Fault
314159	Firmware detected that one of the pendant keys is being pressed during power up, Initial keys pressed: pressed key bit mask {1} 	Fault
314160	Firmware detected that one of the thumbwheel is not at center position during power up, uncentered thumbwheel bit mask {0} 	Fault
314161	Thumbwheel has not been calibrated.	Fault
314162	ADC gain and offset not programmed 	Fault
314163	Keypad IDs do not match: {0} {1} 	Fault
314164	Manufacturing CRC incorrect or not programmed 	Fault
314228	The external serial flash routine encountered fault	Fault
314229	The routine which handling the update of the LCD encountered fault.	Fault
314300	Fail to move STN pendant firmware from boot kernel to application	Fault
321000	 Interlock loop impact read read from the FPGA does not match.	Fault
321001	Interlock over ridable state read from the FPGA does not match.	Fault
321002	HSSB interlock bit has been set without any corresponding, 
local interlocks being asserted.	Fault
321003	The node software did not create the expected set of events relating to either faults or interlocks.	Fault
330009	Improper EMO_GOOD cross connection.	Fault
335000	Invalid EMO State detected. First EMO press: {0}. subsequent EMO unpress: {1}	Fault
335001	Door signal are mismatch Door 1 status= {0}. Door 2 status= {1}	Fault
335002	EMSFFRLYS_COIL must be opposite of EMOFFRLYS_STS	Fault
335006	Inconsistency between control and status of Beam On lamp has been detected. control = {0}. status = {1}	Fault
335007	Motor 48V Power Out of Range. Actual: {0:F2} v. Expected: {1:F2} v.	Fault
335008	Motor Neg 48V Power Out of Range. Actual: {0:F2} v. Expected: {1:F2} v	Fault
335009	Vin 48V Power Out of Range. Actual: {0} v. Expected: {1} v	Fault
335010	Vin Neg 48V Power Out of Range. Actual: {0} v. Expected: {1} v	Fault
335011	Failed to program Variable Frequency Drive (VFD) parameters	Fault
335012	Power cable is disconnected	Fault
335013	Power cable 2 is disconnected	Fault
335014	Power cable 3 is disconnected	Fault
335015	Defective EMSOFF relays. (EMSOFF relays signal is the same as EMO_GOOD signal. They should be opposite.)	Fault
335115	Pos motor 48V Power Out of Range. Actual: {0}V. Tolerance: {1}%	Fault
335116	Neg motor 48V Power Out of Range. Actual: {0}V. Tolerance: {1}%	Fault
335117	System failed to turn on the IRM.	Fault
335118	System failed to turn off the IRM.	Fault
335121	System failed to turn on the MPS VFD Coil.	Fault
335122	System failed to turn off the MPS VFD Coil.	Fault
335123	System failed to turn on the SSMM Coil.	Fault
335124	System failed to turn off the SSMM Coil.	Fault
335125	MPS VFD COIL Fault.	Fault
335126	MPS VFD COIL over current.	Fault
335127	SSMM COIL Fault.	Fault
335130	 Auxiliary contactor Fault.	Fault
335132	Laser Fault.	Fault
335133	Power 5V Fault.	Fault
335134	Power 48V1 Fault.	Fault
335135	Power 48V2 Fault	Fault
335136	Power 48V3 Fault	Fault
335137	System failed to turn off 48V1 	Fault
335138	System failed to turn off 48V2 	Fault
335139	System failed to turn off 48V3 	Fault
335140	Pos Vin 48V Power Out of Range. Actual: {0}V. Tolerance: {1}%	Fault
335141	Neg Vin 48V Power Out of Range. Actual: {0}V. Tolerance: {1}%	Fault
335142	Vin light 48V Power Out of Range. Actual: {0}V. Tolerance: {1}%	Fault
335143	Rear left LED over current	Fault
335144	Rear right LED over current	Fault
335145	Light 48V fault	Fault
335146	Logo light fault	Fault
335147	Door 48V over current	Fault
335164	Aux 24V fault detected	Fault
335165	COIL 24V K3 fault detected	Fault
335166	Transformer thermal fault detected	Fault
335245	DKB Power fault detected	Fault
335246	Pendant Power fault detected	Fault
335247	Relay Junction Box (RJB) power error	Fault
335248	Stand Side Pendant Power fault detected.	Fault
335249	Water Power fault detected	Fault
335250	ENG_DESC_XXX - STN Controller 5V Power Good	Fault
335251	STN Controller Console IO Driver fault detected	Fault
342200	STN 24V power rail out of bounds value = {0}(FPGA)	Fault
342201	STN 5V power rail out of bounds value = {0}(FPGA)	Fault
342202	STN 3V3 power rail out of bounds value = {0}(FPGA)	Fault
342203	STN 1V2 power rail out of bounds value = {0}(FPGA)	Fault
342204	STN Analog Positive 5V power rail out of bounds value = {0}(FPGA)	Fault
342205	STN.FPGA.GEN.STN 15V power rail out of bounds_OutOfTol_desc	Fault
342206	STN 2V5 power rail out of bounds value = {0}(FPGA)	Fault
342208	STN 1V25 power rail out of bounds value = {0}(FPGA)	Fault
342211	STN COLLISION 5V REF power rail out of bounds value = {0}(FPGA)	Fault
342220	STN VRef 2V5 power rail out of bounds value = {0}(FPGA)	Fault
342221	STN CAL HI 2.5V power rail out of bounds value = {0}(FPGA)	Fault
342222	STN CAL LO 0.0V power rail out of bounds value = {0}(FPGA)	Fault
342236	SPB 24V power rail out of bounds value = {0}(FPGA)	Fault
342237	SPB Analog 5V power rail out of bounds value = {0}(FPGA)	Fault
342238	SPB 5V DC out of bounds value = {0}(FPGA)	Fault
342240	SPB 3V3 power rail out of bounds value = {0}(FPGA)	Fault
342241	SPB 1V2 power rail out of bounds value = {0}(FPGA)	Fault
342242	SPB 12V power rail out of bounds value = {0}(FPGA)	Fault
342244	SPB 2V5Ref power rail out of bounds value = {0}(FPGA)	Fault
342245	SPB Cal Hi VRef power out of bounds value = {0}(FPGA)	Fault
342246	SPB Cal Low VRef power out of bounds value = {0}(FPGA)	Fault
342248	SPB 24Vin power rail out of bounds value = {0}(FPGA)	Fault
342264	STN board temperature out of range value = {0}(FPGA)	Fault
342265	SPB board temperature out of range value = {0}(FPGA)	Fault
342270	PDU board temperature out of range value = {0}	Fault
347200	STN-Stand Power Distribution (SPB) MSSB RX link error occurred	Fault
347201	 HWSN Error has been detected between HWSN Hub and BGM Controller PCB	Fault
347202	 HWSN Error has been detected between HWSN Hub and COL Controller PCB	Fault
347203	 HWSN Error has been detected between HWSN Hub and CCH Controller PCB	Fault
347204	 HWSN Error has been detected between HWSN Hub
and Relay Junction Box (RJB) Controller PCB	Fault
347205	Inconsistency of the PEL current loop state to the XI has been detected.	Fault
347206	STN FPGA ADC Time out.	Fault
347208	STN FPGA Pit water error occurred.	Fault
347211	CPU Clock watchdog timeout error has been detected on STN Controller PCB	Fault
347212	HSSB link between STN Node carrier
and STN Controller Application FPGA is unstable	Fault
347213	SPI Bus Heartbeat Error has been detected on STN Controller PCB	Fault
347214	STN FPGA Encoder power error occurred.	Fault
347215	Gantry Encoder power error has been detected by STN Controller Application FPGA	Fault
347216	Gantry Encoder power error has been detected by STN  Hardwire FPGA.	Fault
347217	Console IO error has been detected by STN Controller Application FPGA	Fault
347218	Service door switch Error has been detected by STN Controller Application FPGA	Fault
347219	Servo watchdog has timeout (FPGA).	Fault
347220	Inconsistency of the BEL current loop state to the XI has been detected.	Fault
347221	Inconsistency of the BEL current loop state to the DKB has been detected.	Fault
347223	24V Service door power Error has been detected by STN Controller Application FPGA	Fault
347228	24V Stand Side Panel (SSP) Power error has been detected by STN Controller FPGA 	Fault
347229	Inconsistency of the MEL current loop state to the DKB has been detected.	Fault
347230	Inconsistency of the MEL current loop state to the XI has been detected.	Fault
347239	STN FPGA Beam Timer Accumulator overflow error has occurred.	Fault
347240	STN FPGA Beam Timer parameter corruption has been detected.	Fault
347241	STN software failed to access FPGA beam timer parameter registers.	Fault
347242	Beam-on time is greater than expected, possibly due to:
 BGM did not generate enough beam pulse during Beam On (indicates issue with BGM configuration).
 STN was set to receive less beam pulse than required  (in service mode the Beam Time was set too small).
	Fault
347243	

During CalCheck, the backup timer failed to detect some beam pulses.
Possible cause:
- Internal communication error.

Do not use the system for treatments until it is thoroughly checked out by qualified service personnel.

	Fault
347244	24V Pendant Power error has been detected by STN Controller FPGA 	Fault
347245	VFD (Water Pump) Error has been detected.	Fault
347246	Water  level is too low	Fault
347247	Water level is too low	Fault
347248	Primary encoder roll over has been detected by STN Controller FPGA	Fault
347249	Secondary encoder roll over has been detected by STN Controller FPGA	Fault
347250	STN-Left  Side Stand Side Panel SSPL MSSB RX link error occurred	Fault
347251	STN-Right  Side Stand Side Panel SSPR MSSB RX link error occurred	Fault
347252	Motion is enabled only via the Service pendant.	Fault
347253	One or more Bore collision sensors failed.	Fault
347255	MSSB communication between STN Controller and Left side Stand Side Panel (SSPL) has been detected.	Fault
347256	MSSB communication between STN Controller and Right side Stand Side Panel (SSPR) has been detected.	Fault
347257	STN FPGA detected the 2.5V fault.	Fault
347258	STN FPGA Water 24V error occurred.	Fault
347259	STN FPGA RJB 24V error occurred.	Fault
347260	STN FPGA has detected that the local jumper on the STN controller PCB.	Fault
347261	Inconsistency of the KvBEL current loop state to the DKB has been detected.	Fault
347262	Inconsistency of the KvBEL current loop state to the XI has been detected.	Fault
347400	SPB FPGA ADC timeout error occurred.	Fault
347401	SPB FPGA 5V error occurred.	Fault
347402	Transformer Coil error has been detected by Stand Power Distribution (SPB) FPGA 	Fault
347403	24V Power Error to Power Distribution Unit (PDU has been detected by Stand Power Distribution SPB FPGA 	Fault
347404	24V Power error has been detected by SPB FPGA	Fault
347406	Positive 48V Couch Motor Power error has been detected by Stand Power Distribution (SPB FPGA	Fault
347407	Negative 48V Couch Motor Power error has been detected by Stand Power Distribution (SPB FPGA	Fault
347408	STN-Stand Power Distribution (SPB MSSB RX link error has been detected by Stand Power Distribution (SPB FPGA	Fault
347409	SPB-PDU MSSB RX link error occurred	Fault
347411	SPB FPGA clock fault error occurred.	Fault
347412	 The SPI heartbeat between Hardwired FPGA 
and Stand Power Distribution FPGA is unstable	Fault
347413	XFMR COIL over current has been detected by Stand Power Distribution FPGA	Fault
347414	SPB FPGA positive 48V power good error occurred.	Fault
347415	SPB FPGA negative 48V power good error occurred.	Fault
347416	SPB FPGA Positive 48V Shunt disable error occurred.	Fault
347417	SPB FPGA Negative 48V Shunt disable error occurred.	Fault
347418	SPB FPGA laser error occurred.	Fault
347419	SPB FPGA Positive 48V1 AC error occurred.	Fault
347420	SPB FPGA Positive 48V2 AC error occurred.	Fault
347421	Negative 48V 3 AC error has been detected by Stand Power Distribution SPD FPGA	Fault
347422	SPB FPGA touchscreen error occurred.	Fault
347423	Single Phase Coil Error has been detected by Stand Power Distribution SPD FPGA	Fault
347426	SPB FPGA KV coil over current error occurred.	Fault
347427	SPB FPGA Gantry positive over current error occurred.	Fault
347428	SPB FPGA Gantry negative over current occurred.	Fault
347429	Solid State Magnetron Modulator (SSMM) 3 Phase Coil Error has been detected by Stand Power Distribution SPD FPGA	Fault
347430	48V Door Overcurrent has been detected by Stand Power Distribution SPD FPGA	Fault
347431	24V Couch Power error has been detected by Stand Power Distribution SPD FPGA	Fault
347432	Serial link error has been detected by SPB controller FPGA	Fault
347433	Logo backlight error has been detected by Stand Power Distribution SPD FPGA	Fault
347434	48V power to the bore rear accent light error has been detected by Stand Power Distribution SPD FPGA	Fault
347435	48V Fan No. 1 Power Error has been detected by Stand Power Distribution  SPD FPGA	Fault
347436	48V Fan No. 2 Power Error has been detected by Stand Power Distribution SPD FPGA	Fault
347437	48V Fan No. 3 Power Error has been detected by Stand Power Distribution SPD FPGA	Fault
347438	48V Fan No. 4 Power Error has been detected by Stand Power Distribution SPD FPGA	Fault
347439	48v Gantry Windup Power error has been detected by Stand Power Distribution (SPB FPGA 	Fault
347440	24V gantry windup power error has been detected by SPB controller FPGA	Fault
347600	Auxiliary K1 Error has been detected by Power Distribution Unit Monitor PDUM FPGA	Fault
347601	Auxiliary K2 Error has been detected by Power Distribution Unit Monitor PDUM FPGA	Fault
347602	Auxiliary K3 Error has been detected by Power Distribution Unit Monitor PDUM FPGA	Fault
347603	24V Auxiliary Power Error has been detected by Power Distribution Unit Monitor PDUM FPGA	Fault
347605	Transformer temperature fault has been detected by Power Distribution Unit Monitor (PDUM FPGA	Fault
347606	24V Coil K3 Power Error has been detected.	Fault
347607	SPB-PDUM MSSB RX link error occurred	Fault
347608	Auxiliary K5 Error has been detected.	Fault
351000	Customer RJB Relay Fault	Fault
351001	RJB Aux 24V is enable expected to be disable	Fault
351002	Stand RJB PCB version is not supported	Fault
351003	Stand RJB FPGA version is not supported: Part {0} SW Comp {1}	Fault
351004	Service door signals are mismatches. Door 1 status= {0}. Door 2 status= {1}	Fault
370000	EXIO Channel 1: Gating device has an error.	Fault
370001	EXIO Channel 1: CDOS signal does not match serial data.	Fault
370002	EXIO Channel 1: Gating signal does not match serial data.	Fault
370003	EXIO Channel 1: Gating device is not in proper test mode state.	Fault
370004	EXIO Channel 1: Pre-Beam On Check of CDOS signal failed	Fault
370005	EXIO Channel 1: Pre-Beam On Check of Gating signal failed	Fault
370006	EXIO Channel 1: The gating system shows unexpected behavior.	Fault
370007	EXIO Channel 1: The gating system shows unexpected behavior.	Fault
370008	EXIO Channel 1: The gating system detected beam pulses during beam hold.	Fault
370009	EXIO Channel 1: The gating system could not communicate with the BGM.	Fault
370010	EXIO Channel 1: The gating system could not communicate with the BGM.	Fault
370011	EXIO Channel 1: The gating system could not communicate with the BGM system.	Fault
370012	EXIO Channel 1: The gating system could not communicate with the BGM.	Fault
370013	EXIO Channel 1: The gating system could not communicate with the BGM.	Fault
371000	EXIO Channel 2: Gating device has an error.	Fault
371001	EXIO Channel 2: CDOS signal does not match serial data.	Fault
371002	EXIO Channel 2: Gating signal does not match serial data.	Fault
371003	EXIO Channel 2: Gating device is not in proper test mode state.	Fault
371004	EXGI Device on channel 2 failed pre-beam-on check CDOS test.	Fault
371005	EXIO Channel 2: Pre-Beam On Check of Gating signal failed	Fault
371006	EXIO Channel 2: The gating system shows unexpected behavior.	Fault
371007	EXIO Channel 2: The gating system shows unexpected behavior.	Fault
371008	EXIO Channel 2: The gating system detected beam pulses during beam hold.	Fault
371009	EXIO Channel 2: The gating system could not communicate with the BGM.	Fault
371010	EXIO Channel 2: The gating system could not communicate with the BGM.	Fault
371011	EXIO Channel 2: The gating system could not communicate with the BGM system.	Fault
371012	EXIO Channel 2: The gating system could not communicate with the BGM.	Fault
371013	EXIO Channel 2: The gating system could not communicate with the BGM.	Fault
372000	EXIO Channel 3: Gating device has an error.	Fault
372001	EXIO Channel 3: CDOS signal does not match serial data.	Fault
372002	Gating signal does not match serial data.	Fault
372003	EXIO Channel 3: Gating device is not in proper test mode state.	Fault
